ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_OrigRed,Intensity_IntegratedIntensity_OrigRed,Intensity_LowerQuartileIntensity_OrigRed,Intensity_MADIntensity_OrigRed,Intensity_MassDisplacement_OrigRed,Intensity_MaxIntensityEdge_OrigRed,Intensity_MaxIntensity_OrigRed,Intensity_MeanIntensityEdge_OrigRed,Intensity_MeanIntensity_OrigRed,Intensity_MedianIntensity_OrigRed,Intensity_MinIntensityEdge_OrigRed,Intensity_MinIntensity_OrigRed,Intensity_StdIntensityEdge_OrigRed,Intensity_StdIntensity_OrigRed,Intensity_UpperQuartileIntensity_OrigRed,Location_CenterMassIntensity_X_OrigRed,Location_CenterMassIntensity_Y_OrigRed,Location_CenterMassIntensity_Z_OrigRed,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_OrigRed,Location_MaxIntensity_Y_OrigRed,Location_MaxIntensity_Z_OrigRed,Neighbors_AngleBetweenNeighbors_Expanded,Neighbors_FirstClosestDistance_Expanded,Neighbors_FirstClosestObjectNumber_Expanded,Neighbors_NumberOfNeighbors_Expanded,Neighbors_PercentTouching_Expanded,Neighbors_SecondClosestDistance_Expanded,Neighbors_SecondClosestObjectNumber_Expanded,Number_Object_Number
1,1,33,44,56,5,45,1,50.484848484848484,2.6363636363636362,1.2795956682677476,0.9116348686661977,6.4820448144285745,1,0.75,0.7814968624844985,10.61935018838977,10.04987562112089,2.0,1.315582229162821,1.0,3.0,4.3645641181931385,-1.5284185460048003,23.035533905932738,0.868421052631579,0.7725490555167198,1.1411765236407518,0.0313725508749485,0.003921568393707275,0.07617045420402392,0.04313725605607033,0.04313725605607033,0.0351158661598509,0.03458110677699248,0.03529411926865578,0.0313725508749485,0.027450980618596077,0.0036400314865420403,0.003541215452367254,0.03529411926865578,50.41237114413362,2.6597938129858716,0.0,50.484848484848484,2.6363636363636362,0,48.0,1.0,0.0,82.75560923055448,5.512955066490023,17,2.0,52.10084033613445,9.19698130206121,2,1
1,2,56,70,65,8,55,1,59.642857142857146,3.482142857142857,1.1530367152571515,0.7200537891783285,8.444016491289505,1,0.8,0.8672750717890011,10.473856930924908,10.0,3.0,1.63585176551984,1.4142135623730951,6.0,7.268000494950308,1.4457071579013911,28.485281374238568,0.9032258064516129,0.9215686675161123,1.960784401744604,0.0313725508749485,0.003921568393707275,0.07539351793282409,0.03921568766236305,0.04313725605607033,0.0354449487506197,0.035014007174010785,0.03529411926865578,0.027450980618596077,0.027450980618596077,0.002974823985532949,0.003384606662202454,0.03921568766236305,59.65800000058897,3.5559999922484162,0.0,59.642857142857146,3.482142857142857,0,58.0,6.0,0.0,158.13839458719778,9.19698130206121,1,3.0,75.75757575757575,10.016706198471393,18,2
1,3,42,70,88,8,78,1,82.61904761904762,3.1666666666666665,1.3673539299087774,0.6576417109186904,7.312732791431452,1,0.6,0.7313395443027064,9.192987814896114,9.219544457292887,2.8284271247461903,1.3938858039729773,1.0,6.0,6.9253613886908285,1.2103191379012317,26.86396103067893,0.84,0.8941176868975163,1.4509804602712393,0.0313725508749485,0.003921568393707275,0.0704096681181566,0.03921568766236305,0.03921568766236305,0.03576470747590065,0.03454715381598189,0.03529411926865578,0.0313725508749485,0.027450980618596077,0.002788452984325621,0.0029936917178861135,0.03529411926865578,82.65945945594832,3.2243243183949497,0.0,82.61904761904762,3.1666666666666665,0,79.0,4.0,0.0,164.75864710296966,6.545413589602796,13,4.0,75.0,7.68155881000705,4,3
1,4,57,80,96,9,86,1,90.28070175438596,3.719298245614035,1.1996562196565643,0.8183361864690801,8.51907589177983,1,0.7125,0.8335721380965944,11.629967483627617,10.816653826391969,3.0,1.5992539534315016,1.4142135623730951,6.455946505588384,6.684205673327982,-1.2384865663111304,29.31370849898476,0.8769230769230769,0.9254902359098196,1.9764706771820784,0.0313725508749485,0.003921568393707275,0.04259742899957442,0.03921568766236305,0.03921568766236305,0.03559577830422383,0.034674924161089096,0.03529411926865578,0.027450980618596077,0.027450980618596077,0.003426189013327546,0.0034289469011895184,0.03921568766236305,90.25595238150773,3.753968254259952,0.0,90.28070175438596,3.719298245614035,0,94.0,5.0,0.0,98.82434583460645,7.68155881000705,3,3.0,82.85714285714286,8.780801014122702,24,4
1,5,90,154,115,12,101,1,107.85555555555555,5.655555555555556,1.7689072890756172,0.8287733916067919,10.704744696916627,1,0.5844155844155844,0.5653207526340019,15.564788125830347,16.401219466856727,3.605551275463989,1.6558062070701118,1.4142135623730951,9.603920767980496,8.709812132769226,-0.6956009469020031,44.72792206135785,0.782608695652174,1.4705883022397757,3.0980393569916487,0.0313725508749485,0.003921568393707275,0.07905873881304969,0.0470588244497776,0.0470588244497776,0.03501400719618514,0.03442265952212943,0.03529411926865578,0.027450980618596077,0.027450980618596077,0.0034647945336635866,0.0033975753805653226,0.03529411926865578,107.92911392008554,5.626582271475501,0.0,107.85555555555555,5.655555555555556,0,109.0,10.0,0.0,109.72111978895416,8.176699882740756,14,5.0,83.33333333333333,8.709352103899935,33,5
1,6,89,144,160,10,144,1,150.56179775280899,4.49438202247191,1.4982708524682857,0.8683437849064253,10.645107772184812,1,0.6180555555555556,0.6674360636146509,15.75410356377451,16.15549442140351,3.605551275463989,1.728884838189813,1.4142135623730951,8.0,7.813448873935517,1.2418159196170189,40.9350288425444,0.8240740740740741,1.3647059425711632,3.066666804254055,0.0313725508749485,0.003921568393707275,0.05399269146024972,0.04313725605607033,0.04313725605607033,0.0359133142781885,0.03445693038487702,0.03529411926865578,0.0313725508749485,0.0235294122248888,0.0033088170456855004,0.003598593044913731,0.03529411926865578,150.55115090194462,4.547314576706462,0.0,150.56179775280899,4.49438202247191,0,146.0,6.0,0.0,112.90029155341382,9.086536768681718,34,3.0,82.0,10.0527342793377,15,6
1,7,153,216,178,10,154,1,166.3921568627451,4.0588235294117645,2.0399884345763297,0.9391953347480886,13.957279475043833,1,0.7083333333333334,0.4901988575281716,25.74778399059953,23.021728866442675,4.0,1.8501007210019444,2.0,8.0,8.841360251667309,1.5264835207737844,62.62741699796952,0.7927461139896373,1.964705964550376,5.164706110954285,0.0313725508749485,0.003921568393707275,0.06365665108542434,0.04313725605607033,0.04313725605607033,0.035084035081256716,0.03375624909120448,0.03529411926865578,0.0235294122248888,0.0235294122248888,0.004284318176877236,0.003810691966458262,0.03529411926865578,166.40698557680267,4.120728928746642,0.0,166.3921568627451,4.0588235294117645,0,168.0,6.0,0.0,51.67405660942636,7.133295823741213,26,5.0,72.6027397260274,11.869682560320728,35,7
1,8,35,54,203,7,194,1,198.2,2.8285714285714287,1.149525857531806,0.6673211018791397,6.6755811781245455,1,0.6481481481481481,0.8699238850939299,8.233942933997389,8.06225774829855,2.8284271247461903,1.3820465969031785,1.0,5.0,6.132394751834517,-1.4670927748712372,22.48528137423857,0.875,0.6823529694229364,1.1764706391841173,0.0313725508749485,0.0,0.04855509080686547,0.03921568766236305,0.03921568766236305,0.03411764847114682,0.033613446833831925,0.03529411926865578,0.027450980618596077,0.027450980618596077,0.0033043728268042733,0.003285799361716059,0.03529411926865578,198.20666666756384,2.876666671442799,0.0,198.2,2.8285714285714287,0,199.0,2.0,0.0,148.73860038106886,9.021538226864877,16,2.0,75.0,9.860020858896215,20,8
1,9,56,84,229,8,217,1,222.03571428571428,3.4642857142857144,1.2703687838460833,0.8802875574685486,8.444016491289505,1,0.6666666666666666,0.7871729947365891,12.610374987959927,12.529964086141668,3.0,1.5552317900598145,1.4142135623730951,5.820855000871991,5.982872988259648,-1.1864122433044386,29.899494936611667,0.9180327868852459,0.9019608274102211,1.8470589127391577,0.0313725508749485,0.003921568393707275,0.011819694001952118,0.03921568766236305,0.03921568766236305,0.03340595657074893,0.032983194870342104,0.0313725508749485,0.027450980618596077,0.027450980618596077,0.0026938617262775156,0.0027507731875135912,0.03529411926865578,222.0445859885008,3.456475589064749,0.0,222.03571428571428,3.4642857142857144,0,228.0,2.0,0.0,97.43376532783311,9.668954104213526,25,3.0,77.77777777777777,9.692949264293086,22,9
1,10,48,104,250,14,242,1,245.72916666666666,5.770833333333333,2.0192364741581987,0.8955215259854151,7.817640190446719,1,0.46153846153846156,0.4952366960471487,15.341858857648447,12.649110640673518,2.23606797749979,1.2233614448278827,1.0,6.063390625908324,6.827406381863103,0.2812963244622967,34.89949493661166,0.6153846153846154,1.1294118203222752,1.5882353726774454,0.0313725508749485,0.0,0.03773076591761846,0.03921568766236305,0.03921568766236305,0.033217994715361035,0.03308823693078011,0.0313725508749485,0.027450980618596077,0.027450980618596077,0.002890418520640147,0.00287577062980113,0.03529411926865578,245.73333333427155,5.733333338962661,0.0,245.72916666666666,5.770833333333333,0,242.0,2.0,0.0,48.59761874545592,3.604226878109754,21,3.0,56.89655172413793,8.305294026816984,12,10
