ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_OrigRed,Intensity_IntegratedIntensity_OrigRed,Intensity_LowerQuartileIntensity_OrigRed,Intensity_MADIntensity_OrigRed,Intensity_MassDisplacement_OrigRed,Intensity_MaxIntensityEdge_OrigRed,Intensity_MaxIntensity_OrigRed,Intensity_MeanIntensityEdge_OrigRed,Intensity_MeanIntensity_OrigRed,Intensity_MedianIntensity_OrigRed,Intensity_MinIntensityEdge_OrigRed,Intensity_MinIntensity_OrigRed,Intensity_StdIntensityEdge_OrigRed,Intensity_StdIntensity_OrigRed,Intensity_UpperQuartileIntensity_OrigRed,Location_CenterMassIntensity_X_OrigRed,Location_CenterMassIntensity_Y_OrigRed,Location_CenterMassIntensity_Z_OrigRed,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_OrigRed,Location_MaxIntensity_Y_OrigRed,Location_MaxIntensity_Z_OrigRed,Neighbors_AngleBetweenNeighbors_Expanded,Neighbors_FirstClosestDistance_Expanded,Neighbors_FirstClosestObjectNumber_Expanded,Neighbors_NumberOfNeighbors_Expanded,Neighbors_PercentTouching_Expanded,Neighbors_SecondClosestDistance_Expanded,Neighbors_SecondClosestObjectNumber_Expanded,Number_Object_Number
1,1,21,28,69,5,62,1,64.76190476190476,2.142857142857143,0.8566601204121488,0.8252051266864692,5.170882945826411,1,0.75,1.1673240952536565,7.144984253813519,6.082762530298219,2.0,1.2020305089104422,1.0,3.0,4.035724035843198,-1.408270890571332,15.035533905932738,0.9130434782608695,0.6470588408410549,0.9137255139648914,0.03921568766236305,0.003921568393707275,0.10087238817067783,0.05882352963089943,0.05882352963089943,0.04313725605607033,0.043510738760232925,0.04313725605607033,0.03529411926865578,0.03529411926865578,0.005727817253420734,0.0057919930886716235,0.0470588244497776,64.6652360597787,2.171673817275271,0.0,64.76190476190476,2.142857142857143,0,62.0,2.0,0.0,78.55827542874768,6.326468081369573,12,3.0,73.91304347826087,8.593030691654866,17,1
1,2,43,63,92,8,83,1,86.32558139534883,3.255813953488372,1.1632346853888214,0.8174934950695241,7.399277020331919,1,0.6825396825396826,0.8596717520211679,10.244736055162715,9.433981132056603,2.8284271247461903,1.4272472300374708,1.0,5.6594533097027915,5.900331065819907,-1.1143291539544777,25.071067811865476,0.8958333333333334,1.0392157100141048,1.882352989166975,0.03921568766236305,0.003921568393707275,0.03757291331225242,0.054901961237192154,0.054901961237192154,0.04518329173974369,0.04377565091085989,0.04313725605607033,0.03921568766236305,0.0313725508749485,0.0050233312820545575,0.004998518482199936,0.0470588244497776,86.30000000217697,3.283333330991445,0.0,86.32558139534883,3.255813953488372,0,86.0,6.0,0.0,128.24062609917894,5.90642991222569,19,4.0,80.0,8.660290667646457,13,2
1,3,68,119,109,8,92,1,98.80882352941177,2.8970588235294117,1.6993454184910708,0.9208993985678972,9.304852983362556,1,0.5714285714285714,0.5884618801561529,16.51189572694256,16.0312195418814,3.0,1.5084071898230689,1.0,6.0,6.436342412801328,-1.450223431710708,38.10660171779821,0.8192771084337349,1.5411765109747648,2.850980471819639,0.03921568766236305,0.003921568393707275,0.056012928041704754,0.05882352963089943,0.05882352963089943,0.042810458638187915,0.04192618340911234,0.04313725605607033,0.027450980618596077,0.0235294122248888,0.007241346020009592,0.006353928835264835,0.04313725605607033,98.76341127707559,2.929848691561481,0.0,98.80882352941177,2.8970588235294117,0,108.0,2.0,0.0,80.29253641714952,8.834566048500104,23,4.0,67.3913043478261,9.376062287630681,19,3
1,4,70,119,211,8,194,1,203.38571428571427,3.4285714285714284,1.5335036439056156,0.9374720555487952,9.440697438826296,1,0.5882352941176471,0.652101482754317,16.75952438778262,16.76305461424021,3.0,1.561235222144108,1.4142135623730951,6.0,5.833329242415657,1.2611674880089916,36.72792206135785,0.875,7.431372687220573,15.12549041211605,0.20000000298023224,0.0156862735748291,0.17183190844737486,0.2705882489681244,0.2705882489681244,0.21856978491825216,0.21607843445880073,0.21568627655506134,0.18039216101169586,0.18039216101169586,0.025205740476866717,0.021521722327398914,0.2294117659330368,203.55690951342524,3.4433497495064005,0.0,203.38571428571427,3.4285714285714284,0,209.0,4.0,0.0,126.68668909011213,9.247396242419663,31,4.0,73.91304347826087,12.951174001685505,5,4
1,5,95,144,226,9,208,1,216.33684210526314,3.463157894736842,1.5318354732027837,0.9030688603445738,10.998079684646791,1,0.6597222222222222,0.6528116220661646,17.577247070790957,17.029386365926403,3.605551275463989,1.765352346723421,1.4142135623730951,7.0,7.549353613588903,-1.5421579926359585,42.7634559672906,0.9047619047619048,8.839215964078903,20.301961332559586,0.1764705926179886,0.0313725471496582,0.3324961297113344,0.3803921639919281,0.3803921639919281,0.23261094642312904,0.21370485613220616,0.20196078717708588,0.1411764770746231,0.1411764770746231,0.05883113557401282,0.048989875302804645,0.24803921952843666,216.66930653573235,3.4585667352094474,0.0,216.33684210526314,3.463157894736842,0,225.0,1.0,0.0,107.75037997370437,12.550371953384788,42,5.0,68.62745098039215,12.951174001685505,4,5
1,6,84,128,127,9,111,1,117.86904761904762,3.7857142857142856,1.5081538476321887,0.8540993841986224,10.341765891652821,1,0.65625,0.6630623272088629,15.340490214504158,15.811388300841896,3.605551275463989,1.7244551960638392,1.4142135623730951,7.0,7.978739855636195,-1.5047448876286946,39.89949493661167,0.8316831683168316,1.6431372947990894,3.631372645497322,0.03921568766236305,0.003921568393707275,0.09155770052184936,0.054901961237192154,0.054901961237192154,0.04440911607565107,0.04323062673211098,0.04313725605607033,0.0313725508749485,0.0313725508749485,0.005320572188650252,0.004915059347843297,0.0470588244497776,117.86069114542852,3.8768898409552706,0.0,117.86904761904762,3.7857142857142856,0,112.0,6.0,0.0,82.14264277306413,8.589914890734557,18,3.0,73.91304347826087,10.251421010847146,25,6
1,7,127,195,138,14,123,1,130.30708661417322,6.15748031496063,1.9364629215920488,0.4736332742825151,12.716187407449045,1,0.6512820512820513,0.5164054466779345,15.273353377925,16.1245154965971,4.242640687119285,1.8267816760013778,1.4142135623730951,12.0,13.451580763379594,0.9549540398806858,55.59188309203678,0.7650602409638554,2.215686332434416,5.384313872084022,0.03921568766236305,0.003921568393707275,0.1511635974227399,0.05098039284348488,0.05882352963089943,0.04344483004773364,0.04239617222113403,0.04313725605607033,0.03529411926865578,0.0235294122248888,0.0036295034272497894,0.006141327603872535,0.0470588244497776,130.16168974069322,6.19883466621931,0.0,130.30708661417322,6.15748031496063,0,124.0,6.0,0.0,75.9851463070488,9.003777416589527,14,4.0,86.56716417910448,10.230292307294947,33,7
1,8,44,72,165,7,153,1,158.0,2.909090909090909,1.2292921207753584,0.8746732272135742,7.48482063701911,1,0.6111111111111112,0.8134762950967784,11.168790735948317,11.40175425099138,3.0,1.4149541002041799,1.0,5.0,5.413658677221398,-1.3290574911751547,26.071067811865476,0.8979591836734694,1.1137255169451237,1.8823529928922653,0.03921568766236305,0.003921568393707275,0.014656936158496342,0.05098039284348488,0.05098039284348488,0.044549020677804946,0.04278074983846058,0.04313725605607033,0.03921568766236305,0.0313725508749485,0.0033053029411384592,0.004565507205545027,0.0470588244497776,158.00624999945575,2.895833334487785,0.0,158.0,2.909090909090909,0,162.0,1.0,0.0,141.25575296688322,6.574145404303497,16,4.0,76.47058823529412,10.273140690706803,15,8
1,9,111,175,190,8,165,1,176.1081081081081,3.108108108108108,2.182699076750076,0.9568009160521683,11.888212206450685,1,0.6342857142857142,0.45814835890660077,23.692380612460127,24.020824298928627,3.605551275463989,1.6673338677797929,1.4142135623730951,6.0,6.888414799519389,-1.5139289452550895,55.17766952966369,0.888,2.4549020156264305,5.070588357746601,0.04313725605607033,0.003921568393707275,0.5518277742220375,0.0941176488995552,0.0941176488995552,0.048135333639733935,0.045680976195915324,0.04313725605607033,0.03529411926865578,0.03529411926865578,0.009576869004791133,0.007603632442457045,0.0470588244497776,176.65429232385267,3.0293890197347517,0.0,176.1081081081081,3.108108108108108,0,189.0,1.0,0.0,65.28279974240523,9.561776799935112,34,4.0,64.0625,13.06869216748644,16,9
1,10,65,72,54,9,45,1,48.90769230769231,4.1692307692307695,0.9765340275249358,0.49028445821317473,9.09728368293446,1,0.9027777777777778,1.0240298564245014,9.857262140249604,10.0,4.0,1.8574725521172644,2.0,7.0,8.591219800157294,-1.4539698017050737,28.242640687119284,0.9701492537313433,1.2156863026320934,2.827451054006815,0.03921568766236305,0.003921568393707275,0.026312924290157552,0.054901961237192154,0.05882352963089943,0.04502541861600346,0.04349924698472023,0.04313725605607033,0.03529411926865578,0.0313725508749485,0.004318392988012131,0.005180814035942328,0.0470588244497776,48.88626907256978,4.153952844581639,0.0,48.90769230769231,4.1692307692307695,0,46.0,3.0,0.0,85.81045696087553,6.694180885104408,11,2.0,51.63934426229508,7.1639388742326595,21,10
1,11,70,144,62,13,50,1,55.41428571428571,5.742857142857143,1.5682880705147066,0.9120551308539108,9.440697438826296,1,0.4861111111111111,0.6376379561899005,15.678958491293844,14.212670403551895,3.0,1.5333973604727793,1.4142135623730951,6.379052256590135,6.429432911778468,-0.6082480391093006,37.14213562373095,0.8045977011494253,1.4745098389685154,3.019607922062278,0.04117647185921669,0.003921568393707275,0.037751795736552504,0.05098039284348488,0.054901961237192154,0.04468211633237926,0.04313725602946111,0.04313725605607033,0.03529411926865578,0.027450980618596077,0.0036044563242195854,0.004396955994272833,0.0470588244497776,55.397402597872045,5.776623375420119,0.0,55.41428571428571,5.742857142857143,0,55.0,4.0,0.0,155.59101747228996,5.26451515131072,17,5.0,86.95652173913044,6.694180885104408,10,11
1,12,66,120,76,12,64,2,68.93939393939394,6.893939393939394,1.4541318828554382,0.7805122029083508,9.166995688475081,1,0.55,0.6876955328400667,12.356952634155347,11.704699910719626,3.1622776601683795,1.5735815767122656,1.4142135623730951,7.9179617103809505,7.724832105324993,1.178418339565504,34.72792206135785,0.8354430379746836,1.392156895250082,2.823529489338398,0.03921568766236305,0.003921568393707275,0.07343329931700728,0.054901961237192154,0.054901961237192154,0.044908286943551035,0.04278074983846058,0.04313725605607033,0.03529411926865578,0.0313725508749485,0.004654868664477122,0.004862096571866981,0.0470588244497776,68.90972222480599,6.961111105261888,0.0,68.93939393939394,6.893939393939394,0,66.0,9.0,0.0,115.02407941640864,6.326468081369573,1,5.0,100.0,7.63503495695596,24,12
1,13,66,88,84,9,73,1,77.74242424242425,4.409090909090909,1.1485489902597912,0.7587670190540843,9.166995688475081,1,0.75,0.8706637753203799,11.511764610704596,11.40175425099138,3.605551275463989,1.7528266743521337,1.7071067811865475,7.0,7.4983273966874044,-1.1269791246132963,30.86396103067893,0.8918918918918919,1.3058823831379414,2.843137329444289,0.03921568766236305,0.003921568393707275,0.012071709786810872,0.054901961237192154,0.054901961237192154,0.045030427004756596,0.04307783832491347,0.04313725605607033,0.03921568766236305,0.027450980618596077,0.003658620271035022,0.004850828752915902,0.0470588244497776,77.75448275741705,4.409655172633377,0.0,77.74242424242425,4.409090909090909,0,78.0,6.0,0.0,88.98597582143216,8.660290667646457,2,3.0,73.6842105263158,9.018207678661623,26,13
1,14,104,168,145,15,133,1,139.23076923076923,7.355769230769231,1.5214876174088587,0.7337070264061514,11.507254783503184,1,0.6190476190476191,0.6572514876611559,14.704484050478186,14.422205101855956,4.0,1.8253457860999598,1.4142135623730951,9.838699100999074,9.991196464758273,-0.17756690440688422,44.59188309203678,0.8062015503875969,1.7725490666925907,4.337255030870438,0.03921568766236305,0.003921568393707275,0.0439741152299185,0.054901961237192154,0.054901961237192154,0.04323290406567294,0.04170437529683113,0.04313725605607033,0.0313725508749485,0.0313725508749485,0.004286055507784745,0.004143697149039361,0.04313725605607033,139.26763109978143,7.379746833301211,0.0,139.23076923076923,7.355769230769231,0,142.0,7.0,0.0,150.2033142831018,9.003777416589527,7,5.0,91.2280701754386,9.222496761322171,15,14
